hashtag,trend_score,viral_score,engagement_score,growth_score,total_views,avg_engagement,usage_count
xh,145.56780867220624,12.700199613380422,7.955364919890549,406.8317568631159,1710825990.0,7.933637278128817,550
fyp,126.78066809387859,13.087159084798762,9.321731547705397,349.8536138226513,5412133496.0,9.342476775071175,1226
viral,124.67657722200627,12.872199710557693,8.10269211503412,348.3929338164875,2557215868.0,8.113973571777654,641
xuhuong,123.65857922746234,12.692496672261523,7.250734107405332,348.3929338164875,3981188590.0,7.270169929977533,1087
trend,118.9348448100847,12.760234524493516,8.365301253470363,328.43654834999785,360026200.0,8.34844370002913,90
capcut,118.0096573187257,12.706134364738771,7.650823771313234,328.43654834999785,1121791592.0,7.660376193607995,290
xuhuongtiktok,108.89291838647216,12.148921912496782,6.895717434514008,305.6137685603151,1534325700.0,6.901811971077574,440
fypシ,108.58064743676739,12.93414296604482,9.971465248326925,291.4147907760229,358498100.0,9.941299707097617,83
fypシ゚,107.74410418356129,12.760234524493516,8.365301253470363,291.4147907760229,696817500.0,8.377526588971353,122
foryou,106.70239876468146,12.79914685248139,8.699106930306986,291.4147907760229,972694200.0,8.715844907720745,221
foryoupage,106.44173987729219,12.744383123506976,8.908480358076908,291.4147907760229,434657000.0,8.894037345453587,82
vietnam,105.60174658796575,12.74799597116135,8.576373492119933,291.4147907760229,511772800.0,8.58707018154212,118
trending,104.59738056448937,12.279339922520682,6.895315436864941,291.4147907760229,1519388496.0,6.920545572977192,298
meme,93.127501460271,12.623741652158222,8.699106930306986,248.63562551985046,335943300.0,8.703859258025968,77
tiktok,91.73197841514406,12.491631770542858,7.743181168723227,248.63562551985046,769830796.0,7.716085046373643,149
funny,91.53597861408575,11.773031829306632,6.621788998134099,248.63562551985046,559608500.0,6.647470490140507,107
tiktokgiaitri,89.74731663288188,11.138938039702142,5.553744564273263,248.63562551985046,660072400.0,5.553389067155838,149
learnontiktok,89.55644307579323,11.128054576633023,5.461126823866572,248.63562551985046,383446200.0,5.470222644995765,85
xhtiktok,85.74610319724259,12.214649667979328,8.452642960868904,230.44521227263905,269487500.0,8.431048739060982,100
nhachaymoingay,79.98840270306496,11.04118554601876,6.3853254918598745,219.11243827858996,233457400.0,6.396993844779507,80
