music_id,music_title,trend_score,popularity_score,viral_probability,emerging_score,current_views,current_engagement_rate
7.497685696774442e+18,kori,108160330.52953222,284987152.68764716,1.965174596836043e-05,0.0,1000000000.0,5.09103
7.363609946250104e+18,dźwięk oryginalny,105791766.59225613,277567696.82087433,1.965174596836043e-05,0.0,127800000.0,7.594679186228483
7.504200357698997e+18,original sound - vmornmdd9yh,105641088.9874939,284987152.68764716,1.965174596836043e-05,0.0,217600000.0,5.069347426470588
7.298702778930597e+18,오리지널 사운드 - 가끔,103588031.53481616,277567696.82087433,1.9651745968361825e-05,0.0,223300000.0,9.064711150918047
6.86548031630423e+18,anything,96381904.69668199,246327677.48659083,4.087318065787893e-05,0.0,261300000.0,20.82491389207807
7.501116867017264e+18,sonido original,89609264.95944624,246327677.48659083,2.715450020604647e-05,0.0,133100000.0,13.055071374906085
7.474209817062575e+18,Anxiety,69338570.67629348,196196379.7992779,1.965174596836043e-05,0.0,341100000.0,5.687783319005301
7.212791616833063e+18,Shake Body,66102152.7839315,185879613.01556748,1.9651745968361825e-05,0.0,224000000.0,9.368303571428571
7.49914275654155e+18,original sound - garbagoober,65587234.35243765,186294774.48459068,1.965174596836043e-05,0.0,127800000.0,3.4290297339593114
7.248907488290934e+18,suara asli - SaberTiktokFb.com,64100692.21603191,182217456.5355233,1.337218192440259e-05,0.0,121500000.0,2.960905349794239
7.503643838523772e+18,original sound,62809993.547694325,174960713.85784346,1.965174596836029e-05,0.0,96300000.0,5.193354101765317
7.468711641658526e+18,Shake It To The Max (FLY) (Remix),62762063.0541423,174447470.49043062,3.23571179476421e-05,0.0,226233200.0,16.312739447184892
7.502733969880894e+18,suara asli - Rambo,62472876.19928306,177388473.82420826,1.965174596836043e-05,0.0,116400000.0,3.628694158075602
7.341204142337658e+18,sonido original,62055605.86233555,175257191.14753407,1.9651745968361825e-05,0.0,124600000.0,6.804961279440458
7.440822598885608e+18,Dame Tu Cosita,60162273.18602943,168836111.68637943,1.9651745968360568e-05,0.0,140600000.0,10.566284758364313
7.47915054203149e+18,Різні,59633276.65265155,164148706.8449349,2.715450020604647e-05,0.0,147600000.0,12.245867208672086
7.326957341822946e+18,original sound,54732873.32565075,152523964.69525376,3.235757676179335e-05,0.0,123600000.0,14.761974110032364
7.482383874157858e+18,POPO SILOYO DRXML ABE MEISSIE,54441699.98921882,154131139.13152063,1.965174596836043e-05,0.0,119300000.0,5.358172673931265
7.47570074653457e+18,Bắc Bling (Bắc Ninh) (Prod. by Masew),54261530.11435195,153451533.53661206,2.027088248843798e-05,0.0,132561000.0,6.00983046906854
7.483505239656566e+18,nhạc nền - cậu 2,53955190.63312136,153462502.3960341,1.3372181924401642e-05,0.0,97200000.0,2.6339506172839506
